addr,lat,lng,addr_norm,bank_code,bank_name,branch_code,branch_name,tel_no,manager,establish_date,extended_open_time,url
新竹縣竹北市光明一路145號,24.83027,121.01539,新竹縣竹北市十興里光明一路145號,808,玉山商業銀行,8080750,玉山商業銀行竹北分行,03-5541313,曾俊豪,2006-06-26,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080750"
台南市東區崇學路108號,22.98051009,120.224079,台南市東區崇信里崇學路108號,808,玉山商業銀行,8080761,玉山商業銀行東台南分行,06-2891313,許廷仰,1992-03-26,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080761"
新北市蘆洲區樓厝里集賢路219號,25.086533,121.482734,新北市蘆洲區樓厝里集賢路219號,808,玉山商業銀行,8080772,玉山商業銀行集賢分行,02-82831313,林秀霞,2005-04-18,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080772"
基隆市中正區義一路122號,25.134636,121.746853,基隆市中正區港通里義一路122號,808,玉山商業銀行,8080783,玉山商業銀行基隆分行,02-24271313,馮天建,1995-10-27,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080783"
高雄市岡山區壽天路99號,22.795524,120.291778,高雄市岡山區維仁里壽天路99號,808,玉山商業銀行,8080794,玉山商業銀行岡山分行,07-6211313,洪光毅,2004-09-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080794"
新北市中和區中正路702號,24.996533,121.48615,新北市中和區平河里中正路702號,808,玉山商業銀行,8080808,玉山商業銀行連城分行,02-82281313,徐建軍,2004-12-27,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080808"
高雄市林園區林園北路343號,22.509826,120.394526,高雄市林園區林園里林園北路343號,808,玉山商業銀行,8080819,玉山商業銀行林園分行,07-6431313,黃比一,2004-09-06,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080819"
新北市蘆洲區長榮路48號,25.082777,121.463238,新北市蘆洲區中原里長榮路48號,808,玉山商業銀行,8080820,玉山商業銀行蘆洲分行,02-28481313,劉益智,2006-06-26,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080820"
高雄市大寮區中庄里鳳屏一路476號,22.636215,120.392881,高雄市大寮區中庄里鳳屏一路476號,808,玉山商業銀行,8080831,玉山商業銀行後庄分行,07-7021313,馮世榮,2004-09-06,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080831"
桃園縣桃園市泰山里中山路549號,24.990795,121.29638,桃園市桃園區泰山里中山路549號,808,玉山商業銀行,8080842,玉山商業銀行南桃園分行,03-3371313,謝秀華,2007-04-24,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080842"
