county	county_id	town	town_id	village	village_id	villcode	code2	code1	codebase
臺北市	63000	中正區	63000050	南福里	19	A6305-019-00	A6305-26	A6305-26-007	A6305-0401-00
臺北市	63000	萬華區	63000070	頂碩里	11	A6307-011-00	A6307-26	A6307-26-007	A6307-0386-00
臺北市	63000	大安區	63000030	龍雲里	27	A6303-027-00	A6303-46	A6303-46-007	A6303-0605-00
臺北市	63000	信義區	63000020	三張里	30	A6302-030-00	A6302-53	A6302-53-004	A6302-0605-00
臺北市	63000	萬華區	63000070	雙園里	12	A6307-012-00	A6307-28	A6307-28-007	A6307-0388-00
臺北市	63000	大安區	63000030	龍雲里	27	A6303-027-00	A6303-50	A6303-50-010	A6303-0648-00
臺北市	63000	信義區	63000020	景新里	28	A6302-028-00	A6302-52	A6302-52-003	A6302-0610-00
臺北市	63000	中正區	63000050	龍福里	20	A6305-020-00	A6305-26	A6305-26-006	A6305-0394-00
臺北市	63000	萬華區	63000070	和平里	16	A6307-016-00	A6307-32	A6307-32-002	A6307-0403-00
臺北市	63000	大安區	63000030	龍雲里	27	A6303-027-00	A6303-50	A6303-50-009	A6303-0599-00
臺北市	63000	萬華區	63000070	和平里	16	A6307-016-00	A6307-27	A6307-27-008	A6307-0399-00
臺北市	63000	萬華區	63000070	雙園里	12	A6307-012-00	A6307-28	A6307-28-007	A6307-0400-00
臺北市	63000	中正區	63000050	新營里	21	A6305-021-00	A6305-24	A6305-24-002	A6305-0398-00
臺北市	63000	大安區	63000030	錦泰里	20	A6303-020-00	A6303-45	A6303-45-006	A6303-0609-00
臺北市	63000	大安區	63000030	通安里	32	A6303-032-00	A6303-48	A6303-48-008	A6303-0600-00
臺北市	63000	萬華區	63000070	雙園里	12	A6307-012-00	A6307-28	A6307-28-007	A6307-0404-00
臺北市	63000	松山區	63000010	新東里	7	A6301-007-00	A6301-16	A6301-16-007	A6301-0269-00
臺北市	63000	南港區	63000090	東新里	5	A6309-005-00	A6309-03	A6309-03-009	A6309-0040-00
臺北市	63000	松山區	63000010	松基里	35	A6301-035-00	A6301-29	A6301-29-001	A6301-0258-00
臺北市	63000	松山區	63000010	松基里	35	A6301-035-00	A6301-29	A6301-29-001	A6301-0259-00
臺北市	63000	大同區	63000060	大有里	9	A6306-009-00	A6306-31	A6306-31-006	A6306-0387-00
臺北市	63000	松山區	63000010	松基里	35	A6301-035-00	A6301-29	A6301-29-001	A6301-0261-00
臺北市	63000	松山區	63000010	松基里	35	A6301-035-00	A6301-35	A6301-35-001	A6301-0267-00
臺北市	63000	南港區	63000090	東新里	5	A6309-005-00	A6309-03	A6309-03-008	A6309-0043-00
臺北市	63000	松山區	63000010	松基里	35	A6301-035-00	A6301-35	A6301-35-001	A6301-0284-00
臺北市	63000	中山區	63000040	民安里	4	A6304-004-00	A6304-59	A6304-59-002	A6304-0736-00
臺北市	63000	松山區	63000010	三民里	4	A6301-004-00	A6301-26	A6301-26-003	A6301-0254-00
臺北市	63000	大同區	63000060	雙連里	11	A6306-011-00	A6306-29	A6306-29-006	A6306-0382-00
臺北市	63000	大同區	63000060	雙連里	11	A6306-011-00	A6306-32	A6306-32-009	A6306-0386-00
臺北市	63000	松山區	63000010	富泰里	8	A6301-008-00	A6301-23	A6301-23-007	A6301-0255-00
臺北市	63000	大同區	63000060	延平里	10	A6306-010-00	A6306-33	A6306-33-006	A6306-0380-00
臺北市	63000	大同區	63000060	雙連里	11	A6306-011-00	A6306-32	A6306-32-008	A6306-0385-00
臺北市	63000	大同區	63000060	大有里	9	A6306-009-00	A6306-31	A6306-31-005	A6306-0391-00
臺北市	63000	松山區	63000010	精忠里	10	A6301-010-00	A6301-24	A6301-24-005	A6301-0257-00
臺北市	63000	內湖區	63000100	行善里	27	A6310-027-00	A6310-89	A6310-89-001	A6310-1203-00
臺北市	63000	中山區	63000040	龍洲里	35	A6304-035-00	A6304-56	A6304-56-005	A6304-0805-00
臺北市	63000	中山區	63000040	中原里	31	A6304-031-00	A6304-61	A6304-61-002	A6304-0804-00
臺北市	63000	松山區	63000010	中華里	15	A6301-015-00	A6301-25	A6301-25-007	A6301-0342-00
臺北市	63000	中山區	63000040	龍洲里	35	A6304-035-00	A6304-56	A6304-56-006	A6304-0812-00
臺北市	63000	松山區	63000010	自強里	21	A6301-021-00	A6301-33	A6301-33-001	A6301-0338-00
臺北市	63000	中山區	63000040	中吉里	30	A6304-030-00	A6304-54	A6304-54-005	A6304-0807-00
臺北市	63000	中山區	63000040	龍洲里	35	A6304-035-00	A6304-56	A6304-56-007	A6304-0813-00
臺北市	63000	內湖區	63000100	行善里	27	A6310-027-00	A6310-87	A6310-87-009	A6310-1199-00
臺北市	63000	中山區	63000040	中吉里	30	A6304-030-00	A6304-54	A6304-54-005	A6304-0808-00
臺北市	63000	松山區	63000010	龍田里	12	A6301-012-00	A6301-30	A6301-30-007	A6301-0333-00
臺北市	63000	中山區	63000040	中央里	33	A6304-033-00	A6304-60	A6304-60-003	A6304-0834-00
臺北市	63000	松山區	63000010	自強里	21	A6301-021-00	A6301-33	A6301-33-001	A6301-0340-00
臺北市	63000	南港區	63000090	南港里	1	A6309-001-00	A6309-04	A6309-04-010	A6309-0089-00
臺北市	63000	松山區	63000010	中華里	15	A6301-015-00	A6301-40	A6301-40-001	A6301-0349-00
臺北市	63000	大同區	63000060	永樂里	5	A6306-005-00	A6306-38	A6306-38-004	A6306-0424-00
臺北市	63000	南港區	63000090	南港里	1	A6309-001-00	A6309-10	A6309-10-004	A6309-0106-00
臺北市	63000	松山區	63000010	安平里	19	A6301-019-00	A6301-36	A6301-36-006	A6301-0404-00
臺北市	63000	南港區	63000090	中南里	2	A6309-002-00	A6309-11	A6309-11-003	A6309-0137-00
臺北市	63000	松山區	63000010	龍田里	12	A6301-012-00	A6301-34	A6301-34-005	A6301-0403-00
臺北市	63000	南港區	63000090	玉成里	9	A6309-009-00	A6309-12	A6309-12-004	A6309-0145-00
臺北市	63000	中山區	63000040	中吉里	30	A6304-030-00	A6304-64	A6304-64-002	A6304-0876-00
臺北市	63000	內湖區	63000100	行善里	27	A6310-027-00	A6310-89	A6310-89-007	A6310-1221-00
臺北市	63000	松山區	63000010	中華里	15	A6301-015-00	A6301-40	A6301-40-004	A6301-0407-00
臺北市	63000	中山區	63000040	中吉里	30	A6304-030-00	A6304-64	A6304-64-003	A6304-0878-00
臺北市	63000	松山區	63000010	安平里	19	A6301-019-00	A6301-36	A6301-36-007	A6301-0411-00
臺北市	63000	中山區	63000040	中原里	31	A6304-031-00	A6304-61	A6304-61-005	A6304-0880-00
臺北市	63000	中山區	63000040	中央里	33	A6304-033-00	A6304-60	A6304-60-003	A6304-0888-00
臺北市	63000	松山區	63000010	中華里	15	A6301-015-00	A6301-43	A6301-43-001	A6301-0408-00
臺北市	63000	大同區	63000060	永樂里	5	A6306-005-00	A6306-39	A6306-39-003	A6306-0464-00
臺北市	63000	中山區	63000040	中央里	33	A6304-033-00	A6304-65	A6304-65-001	A6304-0877-00
臺北市	63000	大同區	63000060	永樂里	5	A6306-005-00	A6306-38	A6306-38-008	A6306-0463-00
