bank_code,bank_name,branch_code,branch_name,addr,tel_no,manager,establish_date,extended_open_time,url
806,元大商業銀行,8060208,元大商業銀行國際金融業務分行,台北市松山區敦化南路一段66號,02-2173-6699,張文政,1995-02-16,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8060208"
806,元大商業銀行,8060219,元大商業銀行南京東路分行,南京東路三段221號,02-25458777,呂俊煌,1995-07-22,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8060219"
806,元大商業銀行,8060220,元大商業銀行永和分行,新北市永和區中正路657、659號,02-22325558,范姜順明,1995-07-22,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8060220"
806,元大商業銀行,8060231,元大商業銀行復興分行,台中市復興路一段269號,04-2616889,李業祿,1995-07-22,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8060231"
806,元大商業銀行,8060242,元大商業銀行大里分行,台中市大里區塗城路724號,04-4922288,左繼文,1995-07-22,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8060242"
806,元大商業銀行,8060253,元大商業銀行博愛分行,高雄市明誠二路491號,07-3450939,黃璟琦,1995-07-22,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8060253"
806,元大商業銀行,8060264,元大商業銀行苗栗分行,苗栗縣苗栗市中正路460號,037-336678,陳勝烽,1996-09-23,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8060264"
806,元大商業銀行,8060275,元大商業銀行崇德分行,崇德路2段46號,04-2329961,謝瑞堅,1996-09-23,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8060275"
806,元大商業銀行,8060286,元大商業銀行北斗分行,彰化縣北斗鎮光復路166號,04-8873881,謝宗樺,1996-09-03,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8060286"
806,元大商業銀行,8060297,元大商業銀行佳里分行,台南市佳里區文化路278號,06-7214888,郭俊雄,1996-09-23,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8060297"
806,元大商業銀行,8060301,元大商業銀行大甲分行,台中市大甲區中山路一段833號,04-6886088,蔡好,1997-06-07,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8060301"
806,元大商業銀行,8060312,元大商業銀行虎尾分行,雲林縣虎尾鎮和平路1號,05-6339169,陳正芳,1998-05-08,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8060312"
806,元大商業銀行,8060334,元大商業銀行士林分行,台北市士林區中正路314、316號,02-28376638,周秋樺,1998-06-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8060334"
806,元大商業銀行,8060345,元大商業銀行南崁分行,桃園縣蘆竹鄉錦興村中正路307、309號,03-3129550,莊崇禧,1998-06-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8060345"
